block_id,model_name,group_type,group,estimate,ci_low,ci_high,p_value_two_sided,clusters,observations,repetitions,seed
block_b_2024_10_01_2024_11_11,lightgbm,asset,META,-0.006403490126807769,-0.010341471988872121,-0.0025351345876557926,0.001999000499750125,30,1980,2000,650
block_b_2024_10_01_2024_11_11,lightgbm,asset,MSFT,-0.008526744319213556,-0.012790616423957225,-0.004296575674528263,0.0009995002498750624,30,1980,2000,650
block_b_2024_10_01_2024_11_11,lightgbm,asset,NVDA,-0.015057385360421149,-0.02248521635104442,-0.006360012905755965,0.0009995002498750624,30,1980,2000,650
block_b_2024_10_01_2024_11_11,lightgbm,asset,TSLA,-0.004470856915175964,-0.01764610452199651,0.013158916627343541,0.48875562218890556,30,1980,2000,650
block_b_2024_10_01_2024_11_11,lightgbm,session_tercile,first,0.00349276208621288,-0.0012921845440562862,0.009122442518138443,0.18490754622688654,30,3600,2000,650
block_b_2024_10_01_2024_11_11,lightgbm,session_tercile,last,-0.009609774342285122,-0.01507463346857264,-0.004031873048097141,0.0029985007496251873,30,3600,2000,650
block_b_2024_10_01_2024_11_11,lightgbm,session_tercile,middle,-0.016072572656434678,-0.02262935165655892,-0.009861308560690205,0.0009995002498750624,30,4680,2000,650
block_b_2024_10_01_2024_11_11,lightgbm,volatility_regime,high,0.0032952903942876834,-0.004757521296244301,0.013879818013147761,0.5377311344327836,30,3165,2000,650
block_b_2024_10_01_2024_11_11,lightgbm,volatility_regime,low,-0.016390360025116513,-0.02183756241855733,-0.010282534769553708,0.0009995002498750624,30,4868,2000,650
block_b_2024_10_01_2024_11_11,lightgbm,volatility_regime,normal,-0.0072477789575325436,-0.01131819951580436,-0.003167471885876479,0.0009995002498750624,30,3847,2000,650
block_b_2024_10_01_2024_11_11,har_rv,asset,AAPL,0.03387194345826756,0.016916210115488692,0.052552015978221775,0.0009995002498750624,30,1980,2000,650
block_b_2024_10_01_2024_11_11,har_rv,asset,AMZN,0.03160654720344499,0.009484027119450138,0.05606114528580303,0.0079960019990005,30,1980,2000,650
block_b_2024_10_01_2024_11_11,har_rv,asset,META,0.05682676174735762,0.023175932805073907,0.09091715720033453,0.001999000499750125,30,1980,2000,650
block_b_2024_10_01_2024_11_11,har_rv,asset,MSFT,0.048028585171184544,0.0238392886190102,0.07211756971362353,0.0009995002498750624,30,1980,2000,650
block_b_2024_10_01_2024_11_11,har_rv,asset,NVDA,0.035209153931558226,-0.030265422636389316,0.11145182753677116,0.3188405797101449,30,1980,2000,650
block_b_2024_10_01_2024_11_11,har_rv,asset,TSLA,0.03735576236137165,0.007292745268727051,0.07053549464048763,0.012993503248375811,30,1980,2000,650
block_b_2024_10_01_2024_11_11,har_rv,session_tercile,first,0.016989751019768226,0.005486703732958199,0.02879325259380006,0.0079960019990005,30,3600,2000,650
block_b_2024_10_01_2024_11_11,har_rv,session_tercile,last,0.06144280765258708,0.03635804446572384,0.09137780721999492,0.0009995002498750624,30,3600,2000,650
block_b_2024_10_01_2024_11_11,har_rv,session_tercile,middle,0.042432119967612474,0.02652782222373967,0.0590858213088277,0.0009995002498750624,30,4680,2000,650
