asset,origin_id,contract,option_type,dte,moneyness,rate,dividend_yield,midpoint,quote_age_seconds,relative_spread,iv_success,failure_reason,iv
AAPL,AAPL:2026-06-30T17:25:00+00:00,O:AAPL260731P00285000,put,31,0.9867737691295617,0.0387,0.003707234403135261,7.225,65.173930603,0.06228373702422148,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T17:30:00+00:00,O:AAPL260731C00285000,call,31,0.9881080331449572,0.0387,0.003707234403135261,12.15,159.372426052,0.0411522633744856,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T18:15:00+00:00,O:AAPL260731C00285000,call,31,0.9863298148468593,0.0387,0.003707234403135261,12.25,88.623788421,0.04081632653061224,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T18:30:00+00:00,O:AAPL260731P00285000,put,31,0.9892398472752516,0.0387,0.003707234403135261,7.35,72.847368449,0.08163265306122457,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T18:50:00+00:00,O:AAPL260731C00290000,call,31,1.009854789845736,0.0387,0.003707234403135261,8.725,118.135773517,0.0630372492836677,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T18:50:00+00:00,O:AAPL260731P00285000,put,31,0.992443500365637,0.0387,0.003707234403135261,7.550000000000001,125.881443996,0.1324503311258279,false,STALE_QUOTE,
AAPL,AAPL:2026-06-30T18:55:00+00:00,O:AAPL260731P00285000,put,31,0.9938278062558845,0.0387,0.003707234403135261,7.6,167.998628631,0.14473684210526325,false,STALE_QUOTE,
AAPL,AAPL:2026-07-01T15:00:00+00:00,O:AAPL260708P00292500,put,7,0.9927032071949772,0.0385,0.0035942902132612194,2.935,0.842156153,0.282793867120954,false,INVALID_SPREAD,
AAPL,AAPL:2026-07-01T17:20:00+00:00,O:AAPL260708P00292500,put,7,0.9949318004013742,0.0385,0.0035942902132612194,2.955,97.772496109,0.09813874788494079,false,STALE_QUOTE,
AAPL,AAPL:2026-07-01T17:25:00+00:00,O:AAPL260731C00290000,call,30,0.9858580364427522,0.0385,0.0035942902132612194,12.425,61.448048685,0.04426559356136812,false,STALE_QUOTE,
AAPL,AAPL:2026-07-01T17:30:00+00:00,O:AAPL260731C00290000,call,30,0.9860926927131152,0.0385,0.0035942902132612194,12.4,70.968734177,0.04032258064516129,false,STALE_QUOTE,
AAPL,AAPL:2026-07-02T15:30:00+00:00,O:AAPL260807P00290000,put,36,0.9495432369601519,0.0382,0.003520182378972778,4.525,113.739706349,0.07734806629834265,false,STALE_QUOTE,
AAPL,AAPL:2026-07-02T16:50:00+00:00,O:AAPL260807C00305000,call,36,0.9909675742413413,0.0382,0.003520182378972778,12.95,63.227219834,0.04633204633204631,false,STALE_QUOTE,
AAPL,AAPL:2026-07-02T17:40:00+00:00,O:AAPL260807C00305000,call,36,0.9908066140402171,0.0382,0.003520182378972778,13.05,102.620475512,0.03065134099616861,false,STALE_QUOTE,
AAPL,AAPL:2026-07-02T18:45:00+00:00,O:AAPL260807C00300000,call,36,0.9754828640176887,0.0382,0.003520182378972778,15.625,75.102760568,0.048,false,STALE_QUOTE,
AAPL,AAPL:2026-07-02T19:25:00+00:00,O:AAPL260807C00300000,call,36,0.9751974774891916,0.0382,0.003520182378972778,16.225,68.372581152,0.06471494607087831,false,STALE_QUOTE,
AAPL,AAPL:2026-07-06T14:15:00+00:00,O:AAPL261016C00310000,call,102,1.0004841052121993,0.0387,0.0034004793056545118,18.7,104.715603513,0.03208556149732628,false,STALE_QUOTE,
AAPL,AAPL:2026-07-06T15:45:00+00:00,O:AAPL260713P00310000,put,7,0.9869782546403898,0.0387,0.0034004793056545118,2.485,65.684021169,0.06841046277665994,false,STALE_QUOTE,
AAPL,AAPL:2026-07-06T16:00:00+00:00,O:AAPL260807P00300000,put,32,0.9563886763580719,0.0387,0.0034004793056545118,4.925,61.213940848,0.030456852791878247,false,STALE_QUOTE,
AAPL,AAPL:2026-07-06T16:25:00+00:00,O:AAPL260807P00300000,put,32,0.9598464245720685,0.0387,0.0034004793056545118,5.075,153.291465197,0.04926108374384236,false,STALE_QUOTE,
AAPL,AAPL:2026-07-06T17:05:00+00:00,O:AAPL260807C00315000,call,32,1.0070332480818414,0.0387,0.0034004793056545118,9.899999999999999,83.414653023,0.04040404040404045,false,STALE_QUOTE,
AAPL,AAPL:2026-07-06T18:10:00+00:00,O:AAPL260807P00300000,put,32,0.9593246354566385,0.0387,0.0034004793056545118,5.199999999999999,64.593245166,0.05769230769230767,false,STALE_QUOTE,
AAPL,AAPL:2026-07-06T18:15:00+00:00,O:AAPL260807P00300000,put,32,0.9587114917550811,0.0387,0.0034004793056545118,5.199999999999999,77.220357928,0.05769230769230767,false,STALE_QUOTE,
AAPL,AAPL:2026-07-06T18:20:00+00:00,O:AAPL260807C00310000,call,32,0.9904469791367136,0.0387,0.0034004793056545118,12.575,228.818598834,0.05964214711729623,false,STALE_QUOTE,
AAPL,AAPL:2026-07-06T18:35:00+00:00,O:AAPL260807C00310000,call,32,0.9895301327885598,0.0387,0.0034004793056545118,12.825,81.230757135,0.05068226120857703,false,STALE_QUOTE,
AAPL,AAPL:2026-07-06T18:35:00+00:00,O:AAPL260807P00310000,put,32,0.9895301327885598,0.0387,0.0034004793056545118,8.55,62.95348787,0.04678362573099419,false,STALE_QUOTE,
AAPL,AAPL:2026-07-06T19:25:00+00:00,O:AAPL260807P00300000,put,32,0.9573042312847023,0.0387,0.0034004793056545118,5.025,63.120171693,0.04975124378109452,false,STALE_QUOTE,
AAPL,AAPL:2026-07-07T13:35:00+00:00,O:AAPL260715C00312500,call,8,0.9988174001981653,0.038599999999999995,0.0033560264646658356,,,,false,NO_QUOTE_BEFORE_ORIGIN,
AAPL,AAPL:2026-07-07T13:40:00+00:00,O:AAPL260715C00312500,call,8,1.0040483228376815,0.038599999999999995,0.0033560264646658356,,,,false,NO_QUOTE_BEFORE_ORIGIN,
AAPL,AAPL:2026-07-07T13:45:00+00:00,O:AAPL260715C00312500,call,8,1.0013137236053704,0.038599999999999995,0.0033560264646658356,,,,false,NO_QUOTE_BEFORE_ORIGIN,
AAPL,AAPL:2026-07-07T17:45:00+00:00,O:AAPL260807P00305000,put,31,0.9752821923064624,0.038599999999999995,0.0033560264646658356,6.475,155.092143552,0.06949806949806953,false,STALE_QUOTE,
AAPL,AAPL:2026-07-07T18:40:00+00:00,O:AAPL260807P00315000,put,31,1.0070976405140994,0.038599999999999995,0.0033560264646658356,10.774999999999999,231.305235823,0.0324825986078886,false,STALE_QUOTE,
AAPL,AAPL:2026-07-08T16:55:00+00:00,O:AAPL260807P00300000,put,30,0.9581297307655456,0.0387,0.0033978383276163358,4.800000000000001,86.375176267,0.0416666666666667,false,STALE_QUOTE,
AAPL,AAPL:2026-07-08T17:00:00+00:00,O:AAPL260807C00310000,call,30,0.9900357690342361,0.0387,0.0033978383276163358,12.3,67.28300214,0.03252032520325206,false,STALE_QUOTE,
