asset,origin_utc,date,hour,atm_iv_available,skew_available,term_structure_available,b1a_complete,b1b_complete,b1c_complete,iv_contract_count,iv_inversion_attempts,iv_inversion_successes,valid_expiry_bucket_count,valid_moneyness_count,median_quote_age_seconds,median_relative_spread,quote_selection,usable_for_primary
SPY,2026-07-20T13:35:00+00:00,2026-07-20,13:35,False,False,False,False,False,False,1,1,1,1,1,0.324205,0.07737124213470055,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
SPY,2026-07-20T16:00:00+00:00,2026-07-20,16:00,True,False,True,True,False,False,4,4,4,3,3,22.155728,0.05669898823289224,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
SPY,2026-07-20T19:30:00+00:00,2026-07-20,19:30,True,True,True,True,True,True,10,10,10,3,5,0.4015275,0.061200302593774514,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
TSLA,2025-07-25T13:35:00+00:00,2025-07-25,13:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
TSLA,2025-07-25T16:00:00+00:00,2025-07-25,16:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
TSLA,2025-07-25T19:30:00+00:00,2025-07-25,19:30,False,False,True,False,False,False,2,2,2,2,1,0.8509365,0.017981795784286908,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
TSLA,2026-01-16T14:35:00+00:00,2026-01-16,14:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
TSLA,2026-01-16T17:00:00+00:00,2026-01-16,17:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
TSLA,2026-01-16T20:30:00+00:00,2026-01-16,20:30,True,False,False,True,False,False,3,3,3,1,3,4.240592,0.00592592592592601,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
TSLA,2026-07-20T13:35:00+00:00,2026-07-20,13:35,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
TSLA,2026-07-20T16:00:00+00:00,2026-07-20,16:00,False,False,False,False,False,False,0,0,0,0,0,,,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
TSLA,2026-07-20T19:30:00+00:00,2026-07-20,19:30,True,True,True,True,True,True,29,30,29,3,7,1.105649,0.01271186440677969,corrected_per_origin_controlled_for_AAPL; historical_matrix_rows_retained_as_exploratory,False
