model_name,information_set,mechanism_id,b2_variant,variant_type,observations,actual_mean,forecast_mean,forecast_to_actual_ratio,mean_signed_error,qlike,mae,rmse
gamma_glm,B2_residual,hour_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.00017059438129472,9.270325879241561,-0.00015219218233031022,5908487.265869113,0.00017055291070894042,0.01224518444774608
har_rv,B2_residual,global_elastic_net,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.000019649423584530865,1.0677758469264065,-1.2472246201211063e-6,0.4260088328570797,0.000014704915323160776,0.00043359432928823756
ridge,B2_residual,hour_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.00002160896249894274,1.1742598012734746,-3.2067635345329824e-6,1901401.988638581,0.000017618907801786613,0.00037970616093121725
elastic_net,B2_residual,asset_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.000018801380802415966,1.0216920727125187,-3.9918183800621124e-7,3699805.470276868,0.00001867917199680241,0.00037427120154246617
elastic_net,B2_residual,hour_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.000022135297025863056,1.2028615204450943,-3.7330980614533023e-6,1717111.4483661002,0.000018172994443546642,0.0004307023316834176
lightgbm,B2_residual,hour_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.000018266089654479666,0.9926036388263529,1.361093099300901e-7,0.20192181498860365,8.240843834284536e-6,0.000018541944178641766
ridge,B2_residual,asset_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.00002507765634816352,1.3627532446890853,-6.6754573837537636e-6,1220935.1578468175,0.000018859409545934567,0.00043442361595038805
elastic_net,B2_residual,regime_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.00002014184775377404,1.0945348320996204,-1.73964878936428e-6,3525472.6891087284,0.000018536857831462718,0.00037417912723134176
lightgbm,B1,baseline,placebo_target_permuted,baseline,15548,0.000018402198964409755,0.00001633652247371012,0.8877483884021308,2.0656764906996387e-6,0.2054259552609349,7.675010366548462e-6,0.00001859367710838303
lightgbm,B1,baseline,lag_1_session,baseline,15548,0.000018402198964409755,0.00001624794259687324,0.8829348399230499,2.154256367536515e-6,0.20563376024750038,7.672662023929775e-6,0.00001861721316342479
lightgbm,B2_residual,regime_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.00001897114942800323,1.0309175259268655,-5.689504635934766e-7,0.20687929793403395,8.483248301807195e-6,0.000018672724446378998
har_rv,B2_residual,asset_ridge,primary,residual,15548,0.000018402198964409755,0.000024282008401235507,1.3195166755993362,-5.87980943682575e-6,2223114.573983323,0.000021282552855636343,0.00043391462101901744
ridge,B2_residual,regime_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.000020570836692789543,1.1178466623784462,-2.1686377283797926e-6,2845738.622305557,0.000017741891936924155,0.00037960983258666903
gamma_glm,B2_residual,hour_ridge,primary,residual,15548,0.000018402198964409755,0.0002024510534078493,11.001459868975113,-0.00018404885444343956,5153733.357989795,0.00020151519173620264,0.012350220552685209
lightgbm,B2_residual,asset_ridge,primary,residual,15548,0.000018402198964409755,0.000018360757108767807,0.9977479943716456,4.1441855641949024e-8,4712.509810548507,8.212755379200464e-6,0.000018579547340559533
har_rv,B2_residual,hour_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.000022241038071065393,1.2086076296686084,-3.838839106655636e-6,1259818.215543012,0.000017088246574159656,0.0004336884707112606
ridge,B0,direct,primary,direct,15548,0.000018402198964409755,0.00002035769721975355,1.1062643795519096,-1.955498255343791e-6,0.30163292556103594,0.000014862352253577521,0.0004908017711456127
gamma_glm,B2_residual,global_elastic_net,primary,residual,15548,0.000018402198964409755,0.00011392913610757092,6.191060988304295,-0.0000955269371431612,8151390.822233264,0.00011993855441986808,0.012344510429491532
ridge,B2_residual,regime_ridge,primary,residual,15548,0.000018402198964409755,0.000022679034470084743,1.2324089373202887,-4.276835505674984e-6,1681620.4852059616,0.000018854187596154695,0.0004342300769720195
elastic_net,B2_residual,global_elastic_net,primary,residual,15548,0.000018402198964409755,0.000018433279960936355,1.0016889827453073,-3.108099652659889e-8,8634.231468293141,0.000015200825329508532,0.00043057236272162167
elastic_net,B0,direct,primary,direct,15548,0.000018402198964409755,0.000019696923717738905,1.0703570674261904,-1.2947247533291477e-6,0.298527510581035,0.000014248458404361121,0.0004104751514840397
gamma_glm,B1,baseline,placebo_target_permuted,baseline,15548,0.000018402198964409755,0.00012374360183804291,6.724392127123812,-0.00010534140287363314,0.23167066759427904,0.00011531023226947903,0.01234456569281729
ridge,B2_residual,regime_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.000022239693993536627,1.2085345907056364,-3.837495029126873e-6,1174837.2318156539,0.000017148981557487917,0.000434159927747773
elastic_net,B2_residual,global_elastic_net,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.000018433279960936355,1.0016889827453073,-3.1080996526598e-8,8634.231468293141,0.000015200825329508532,0.00043057236272162167
lightgbm,B2,direct,primary,direct,15548,0.000018402198964409755,0.000016442339731522133,0.8934986391203555,1.9598592328876253e-6,0.20323476740960328,7.619089852586987e-6,0.000018504435509210046
gamma_glm,B1,baseline,primary,baseline,15548,0.000018402198964409755,0.00012374360183804291,6.724392127123812,-0.00010534140287363314,0.23167066759427904,0.00011531023226947903,0.01234456569281729
elastic_net,B2_residual,hour_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.00002126192454345496,1.155401296582869,-2.8597255790452015e-6,2604271.969291401,0.000018412124914306572,0.0003743457820392734
gamma_glm,B2,direct,primary,direct,15548,0.000018402198964409755,0.000022410354633411084,1.2178085171643447,-4.0081556690013265e-6,0.21855309048697305,0.000013058199698502246,0.00021641834117090667
elastic_net,B2_residual,global_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.00002075466106619627,1.12783592364892,-2.3524621017865154e-6,2167238.8795369333,0.000017894471774888607,0.00043059428199258246
gamma_glm,B2_residual,asset_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.00034552105558184837,18.77607432949146,-0.00032711885661743865,3663269.705205223,0.0003420708689548428,0.012377573362946637
elastic_net,B2_residual,global_elastic_net,lag_1_session,residual,15548,0.000018402198964409755,0.00001835378354673073,0.9973690417230756,4.8415417679028566e-8,0.48463356117664064,0.000014553481184330727,0.00037412212550017065
har_rv,B2_residual,regime_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.0000205832791246688,1.1185228006977481,-2.1810801602590394e-6,2839414.2145285057,0.000017726051213020955,0.00037914514096614593
ridge,B2,direct,primary,direct,15548,0.000018402198964409755,0.000016384840321596847,0.8903740446065972,2.0173586428129107e-6,0.26609052955948503,9.531315320965286e-6,0.00006501685744794391
elastic_net,B2,direct,primary,direct,15548,0.000018402198964409755,0.000016645437598444054,0.9045352476971196,1.7567613659657044e-6,0.26684420764578376,9.807128854143275e-6,0.0000805798639407043
ridge,B2_residual,global_elastic_net,lag_1_session,residual,15548,0.000018402198964409755,0.00001940734353648726,1.054620894710544,-1.0051445720775025e-6,0.3668204161900186,0.000014166150861431435,0.00037953406642630885
lightgbm,B2_residual,global_elastic_net,lag_1_session,residual,15548,0.000018402198964409755,0.000018463792193987325,1.0033470581258628,-6.159322957757197e-8,0.20069537193251707,8.321103174057477e-6,0.000018554195194124812
har_rv,B1,baseline,primary,baseline,15548,0.000018402198964409755,0.000019990043991477423,1.0862856134823122,-1.5878450270676684e-6,0.2951572408691043,0.000014235970081397749,0.0004335702393510233
ridge,B1,baseline,placebo_target_permuted,baseline,15548,0.000018402198964409755,0.0000199963057815304,1.0866258874933197,-1.5941068171206465e-6,0.2951261568324671,0.000014240757128883166,0.0004341557366784791
har_rv,B2_residual,hour_ridge,primary,residual,15548,0.000018402198964409755,0.000023569679263319868,1.2808077615563298,-5.167480298910112e-6,1452334.7625101877,0.0000190536424261669,0.00043385561643374473
har_rv,B2_residual,hour_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.000021620995061965923,1.1749136667732694,-3.2187960975561637e-6,1884202.9468134793,0.000017602100875776118,0.0003792406900137145
har_rv,B2_residual,regime_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.000022250585450007564,1.2091264469556422,-3.8483864855978065e-6,1163096.2942993403,0.00001712543561313355,0.0004335749437104686
elastic_net,B1,baseline,primary,baseline,15548,0.000018402198964409755,0.00002021489685492799,1.0985044175440137,-1.8126978905182334e-6,0.2910672745875491,0.000014353190203130769,0.0004305486670254259
elastic_net,B1,baseline,placebo_target_permuted,baseline,15548,0.000018402198964409755,0.00002021489685492799,1.0985044175440137,-1.8126978905182334e-6,0.2910672745875491,0.000014353190203130769,0.0004305486670254259
lightgbm,B2_residual,hour_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.00001901701722864856,1.0334100433012314,-6.14818264238802e-7,0.20781601944873293,8.56958591039231e-6,0.00001865962105105611
lightgbm,B2_residual,regime_ridge,primary,residual,15548,0.000018402198964409755,0.00001850456257346695,1.0055625748452761,-1.0236360905719327e-7,466.28462025057183,8.255683199174597e-6,0.00001857013509904505
ridge,B1,baseline,primary,baseline,15548,0.000018402198964409755,0.0000199963057815304,1.0866258874933197,-1.5941068171206465e-6,0.2951261568324671,0.000014240757128883166,0.0004341557366784791
elastic_net,B2_residual,asset_ridge,primary,residual,15548,0.000018402198964409755,0.000024464968829792228,1.3294589889560482,-6.062769865382476e-6,3397441.469568006,0.000023315224125239238,0.00043098482313336266
ridge,B2_residual,global_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.000019171231848140394,1.0417902711093368,-7.690328837306367e-7,2359534.324489492,0.00001741398581860983,0.00037956572059441487
gamma_glm,B2_residual,asset_ridge,primary,residual,15548,0.000018402198964409755,0.00023367148298892668,12.698019592161367,-0.00021526928402451688,5918312.547628981,0.00023397238729118048,0.012351854491983746
har_rv,B1,baseline,lag_1_session,baseline,15548,0.000018402198964409755,0.000019549477028689748,1.062344617971953,-1.1472780642799932e-6,0.29695738706150326,0.00001381259845731778,0.0003790456675231849
gamma_glm,B0,direct,primary,direct,15548,0.000018402198964409755,0.00005105589304915383,2.774445225154723,-0.00003265369408474407,0.2313823981395778,0.000042844828628545776,0.0029691544486998168
gamma_glm,B2_residual,global_elastic_net,lag_1_session,residual,15548,0.000018402198964409755,0.00011310267588134254,6.146150038921192,-0.00009470047691693278,8159595.886746922,0.00011942540457523455,0.0122415003848751
gamma_glm,B2_residual,global_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.00020022975921612848,10.880751784250192,-0.00018182756025171876,5328455.109575135,0.00019981862875617879,0.012347145009206873
elastic_net,B1,baseline,lag_1_session,baseline,15548,0.000018402198964409755,0.00001975480489531792,1.0735024077026953,-1.3526059309081621e-6,0.29307962093329104,0.000013933218379546837,0.00037409983759813036
lightgbm,B2_residual,asset_ridge,lag_1_session,residual,15548,0.000018402198964409755,0.00001910615760680518,1.0382540501685096,-7.039586423954228e-7,1735.4645618334562,8.670777796120345e-6,0.00001873794566233818
elastic_net,B2_residual,regime_ridge,placebo_target_permuted,placebo,15548,0.000018402198964409755,0.00002222148270943553,1.2075449652735715,-3.819283745025773e-6,1683420.8965699016,0.000018420396162648886,0.00043055583267624496
